"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Cliff Avril",2015,"DL","Sea",53.1442075454415,50.138415090883,56.15,NA,78
"George Johnson",2015,"DL","Tam",53.1257410008471,52.5014820016942,53.75,NA,28.5
"Jonathan Joseph",2018,"DB","Hou",53.1217564246973,53.1217564246973,NA,NA,NA
"Lorenzo Taliaferro",2014,"RB","Bal",53.10671335856,86.2795845201245,37.5405555555556,35.5,70.6
"Brian Rolle",2012,"","Phi",53.1031065778215,53.1031065778215,NA,NA,4
"Terrance Knighton",2011,"DT","Jax",53.1018771396606,53.1018771396606,NA,NA,27
"Kevin Byard",2017,"DB","Ten",53.0900009121322,66.2550018242643,39.925,NA,119.5
"Bradley Kaaya",2018,"QB","Ind",53.0748524107123,53.0748524107123,NA,NA,NA
"Robert Golden",2016,"DB","Pit",53.0425241191495,54.2975482382991,51.7875,NA,30.5
"Kenjon Barner",2013,"RB","Car",53.0340714471191,86.6481428942382,19.42,NA,3.4
"Mario Edwards",2018,"DE","Oak",53.0270294091471,53.0270294091471,NA,NA,NA
"Montell Owens",2012,"RB","Jax",53.0105870322313,53.0105870322313,NA,NA,46.2
"Kelly Jennings",2010,"RCB","Sea",53.0092591041784,53.0092591041784,NA,NA,47.75
"Brian Robiskie",2009,"WR","Cle",53,NA,53,NA,17.6
"Jabar Gaffney",2009,"WR","Den",53,NA,53,NA,139.2
"Lito Sheppard",2010,"CB","Min",52.9766822840175,52.9766822840175,NA,NA,18.5
"Shaq Lawson",2018,"DE","Buf",52.966497445691,52.966497445691,NA,NA,NA
"Jonathan Skelton",2011,"QB","Ari",52.9600235263421,85.5200470526843,20.4,NA,117.32
"Brodney Pool",2011,"S","Nyj",52.9437428683485,52.9437428683485,NA,NA,40
"Joshua Boyce",2013,"WR","Nwe",52.9436104742189,78.7147209484377,27.1725,NA,21.1
"Willie Snead",2015,"WR","Nor",52.9315345614351,50.8634691228702,54.9996,8.1,183.4
"Leon Hall",2014,"DB","Cin",52.9307145628006,52.9307145628006,NA,NA,68.25
"Brandon Williams",2016,"DL","Bal",52.9146391510017,47.8626116353367,57.9666666666666,NA,51.5
"Isaiah Ford",2018,"WR","Mia",52.9063205716953,52.9063205716953,NA,NA,NA
"Cullen Jenkins",2010,"DE","Gnb",52.8965535429634,52.8965535429634,NA,NA,33.5
"Thomas Rawls",2018,"RB","Nyj",52.8794392332928,93.6383176998785,32.5,32.5,NA
"Darian Thompson",2017,"DB","Nyg",52.875,51.1531932875762,52.875,NA,76.75
"Justin Hunter",2013,"WR","Ten",52.8637516369788,52.1921699406244,53.5353333333333,NA,77.4
"Ernie Sims",2011,"LB","Ind",52.849464373325,52.849464373325,NA,NA,48
"Craig Dahl",2013,"","Sfo",52.841993944538,52.841993944538,NA,NA,14
"Gerald Mccoy",2011,"DT","Tam",52.8332338960658,52.8332338960658,NA,NA,15
"Jake Ballard",2011,"TE","Nyg",52.827487731874,52.827487731874,NA,NA,122.4
"Preston Parker",2015,"WR","Nyg",52.8234544056557,69.7123810335337,35.9345277777778,35.5,9.3
"Akiem Hicks",2015,"DE","Nor/nwe",52.8182238652312,52.8182238652312,NA,NA,27.5
"Tyler Boyd",2018,"WR","Cin",52.8118827339089,84.5237654678178,21.1,21.1,NA
"Vince Brown",2014,"WR","Oak",52.8024285714286,NA,52.8024285714286,NA,23.8
"Michael Goodson",2011,"RB","Car",52.8,131.661063249216,52.8,NA,1.4
"Dwayne Jarrett",2009,"WR","Car",52.8,NA,52.8,NA,42.6
"Chris Polk",2014,"RB","Phi",52.7913916014241,63.6639475315452,42.6102272727272,52.1,50.8
"Alexander Carrington",2013,"DE","Buf",52.7903693100149,52.7903693100149,NA,NA,9
"Jo Lonn Dunbar",2010,"LB","Nor",52.779432020053,52.779432020053,NA,NA,45.5
"Kyle Arrington",2011,"RCB","Nwe",52.7783123064951,52.7783123064951,NA,NA,113.75
"Hauoli Kikaha",2017,"DL","Nor",52.7746031258173,52.7746031258173,NA,NA,18.5
"Tarell Brown",2014,"DB","Oak",52.76850344784,52.76850344784,NA,NA,53
"Ryan Fitzpatrick",2018,"QB","Tam",52.7629010240095,85.8087030720285,36.24,36.24,NA
"Michael Wright",2010,"DE","Nwe",52.7627375924864,52.7627375924864,NA,NA,27.75
"Nnamdi Asomugha",2010,"CB","Oak",52.7496253861184,52.7496253861184,NA,NA,21
"Nickell Robey Coleman",2016,"DB","Buf",52.7288399901797,62.7826799803594,42.675,NA,60.5
"Reed Doughty",2010,"SS","Was",52.7265444593217,52.7265444593217,NA,NA,83
"Dustin Keller",2008,"TE","Nyj",52.7,NA,52.7,NA,119.5
